MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 25.80612202891119.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 25.80612202891119.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 25.951069048646342.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 25.951069048646342.
MachineShop.MachineShop.1 	 resumes 	 Part.c.19 	 at time 25.961526970530933.
Part.c.19 	 resumes 	 MachineShop.MachineShop.1 	 at time 25.961526970530933.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 26.455916437264236.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 26.455916437264236.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 26.612825154833.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 26.612825154833.
MachineShop.MachineShop.1 	 resumes 	 Source.entry.2 	 at time 26.632157759477128.
Source.entry.2 	 generates 	 Part.c.20 	 at time 26.632157759477128.
Source.entry.2 	 resumes 	 MachineShop.MachineShop.1 	 at time 26.632157759477128.
MachineShop.MachineShop.1 	 resumes 	 Part.c.20 	 at time 26.632157759477128.
Transport.toMachine1.10 	 moves for 16.51262944098562 	 Part.c.20 	 at time 26.632157759477128.
Part.c.20 	 resumes 	 MachineShop.MachineShop.1 	 at time 26.632157759477128.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 26.63892667265172.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 26.63892667265172.
MachineShop.MachineShop.1 	 resumes 	 Part.c.19 	 at time 26.85434602239456.
Part.c.19 	 resumes 	 MachineShop.MachineShop.1 	 at time 26.85434602239456.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 27.10571084561728.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 27.10571084561728.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 27.27458126101966.
Resource.Machine2.6 	 serves for 0.686273910649548 	 Part.c.15 	 at time 27.27458126101966.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 27.27458126101966.
MachineShop.MachineShop.1 	 resumes 	 Part.c.20 	 at time 27.45778923152641.
Part.c.20 	 resumes 	 MachineShop.MachineShop.1 	 at time 27.45778923152641.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 27.55290071051131.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 27.55290071051131.
MachineShop.MachineShop.1 	 resumes 	 Part.c.19 	 at time 27.747165074258184.
Part.c.19 	 resumes 	 MachineShop.MachineShop.1 	 at time 27.747165074258184.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 27.755505253970327.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 27.755505253970327.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 27.960855171669206.
Resource.Machine2.6 	 releases 	 Part.c.15 	 at time 27.960855171669206.
